MatVec;0.0001241;;MatVec;MatVecRMA;MatVecMasteSlave;MatVecMasterSlaveRMA
MatVecRMA;0.0005469;;0,00012410;0,00054690;0,14700900;0,18601100
MatVecMasteSlave;0.147009;;0,00008020;0,00055040;0,15718300;0,15200000
MatVecMasterSlaveRMA;0.186011;;0,00009400;0,00099850;0,14855500;0,15470100
MatVec;8.02e-05;;;;;
MatVecRMA;0.0005504;;;;;
MatVecMasteSlave;0.157183;;;;;
MatVecMasterSlaveRMA;0.152;;;;;
MatVec;9.4e-05;;;;;
MatVecRMA;0.0009985;;;;;
MatVecMasteSlave;0.148555;;;;;
MatVecMasterSlaveRMA;0.154701;;;;;
